,Title,Links,Detail,Price,Ratings
0,,,,,
1,Private room in Honolulu,https://www.airbnb.com/rooms/8353253?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 double bed,$108 per night,4.93 (90)
2,Condo in Kapolei,https://www.airbnb.com/rooms/52354242?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,2 beds,$338 per night,4.86 (7)
3,Private room in Honolulu,https://www.airbnb.com/rooms/5239302?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 queen bed,"$114 per night, originally $138",4.94 (110)
4,Hotel room in Honolulu,https://www.airbnb.com/rooms/549387797494551181?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 bed,$166 per night,4.23 (265)
5,Hotel room in Honolulu,https://www.airbnb.com/rooms/50897977?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 king bed,$160 per night,4.26 (39)
6,Camper/RV in Honolulu,https://www.airbnb.com/rooms/690446952437754305?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 bed,$133 per night,New
7,Condo in Honolulu,https://www.airbnb.com/rooms/42606776?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 queen bed,"$240 per night, originally $277",New
8,Condo in Honolulu,https://www.airbnb.com/rooms/44407253?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,,"$224 per night, originally $246",4.8 (5)
9,Condo in Honolulu,https://www.airbnb.com/rooms/47181656?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,3 beds,"$363 per night, originally $456",4.87 (31)
10,Condo in Honolulu,https://www.airbnb.com/rooms/54168114?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,2 beds,$283 per night,5.0 (7)
11,Condo in Honolulu,https://www.airbnb.com/rooms/4715181?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 bed,$286 per night,New
12,Condo in Honolulu ,https://www.airbnb.com/rooms/24396528?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,2 beds,$297 per night,4.67 (3)
13,Hotel room in Honolulu,https://www.airbnb.com/rooms/21175015?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,2 beds,$286 per night,5.0 (8)
14,Condo in Honolulu,https://www.airbnb.com/rooms/689332356756272637?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 bed,$257 per night,New
15,Hotel room in Honolulu,https://www.airbnb.com/rooms/43433712?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 king bed,$330 per night,4.88 (8)
16,Vacation home in Kapolei,https://www.airbnb.com/rooms/670265968082062765?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,3 beds,$656 per night,New
17,Home in Honolulu,https://www.airbnb.com/rooms/45902773?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,4 beds,"$1,089 per night",5.0 (14)
18,Townhouse in Honolulu,https://www.airbnb.com/rooms/5307830?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,10 beds,"$1,121 per night",4.93 (40)
19,Condo in Honolulu,https://www.airbnb.com/rooms/40992274?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,2 queen beds,$361 per night,4.88 (16)
20,Apartment in Honolulu,https://www.airbnb.com/rooms/676685523088344570?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=6d2af8b7-85aa-40da-a19a-0e287942e861,1 bed,$284 per night,New
21,Hotel room in Honolulu,https://www.airbnb.com/rooms/34749905?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 king bed,"$213 per night, originally $251",3.6 (5)
22,Condo in Honolulu,https://www.airbnb.com/rooms/42563205?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 queen bed,"$240 per night, originally $277",5.0 (5)
23,Condo in Honolulu,https://www.airbnb.com/rooms/44362027?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,,"$238 per night, originally $261",4.25 (4)
24,Hotel room in Honolulu,https://www.airbnb.com/rooms/50897997?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,$170 per night,3.67 (12)
25,Home in Ewa Beach,https://www.airbnb.com/rooms/44508456?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,4 beds,$859 per night,4.8 (5)
26,Condo in Honolulu,https://www.airbnb.com/rooms/569702226816888704?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,"$376 per night, originally $458",New
27,Home in Honolulu,https://www.airbnb.com/rooms/13960740?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,6 beds,$744 per night,4.92 (78)
28,Home in Haleiwa,https://www.airbnb.com/rooms/654118237624608884?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,$637 per night,New
29,Home in Haleiwa,https://www.airbnb.com/rooms/685932095916558273?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,9 beds,$977 per night,New
30,Home in Honolulu,https://www.airbnb.com/rooms/53860223?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,6 beds,"$3,665 per night",New
31,Condo in Honolulu,https://www.airbnb.com/rooms/30740076?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,$381 per night,4.38 (8)
32,Condo in Honolulu,https://www.airbnb.com/rooms/51684558?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 bed,$270 per night,New
33,Condo in Honolulu,https://www.airbnb.com/rooms/39939965?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 king bed,"$240 per night, originally $277",New
34,Apartment in Honolulu,https://www.airbnb.com/rooms/50291800?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 bed,$316 per night,New
35,Apartment in Honolulu,https://www.airbnb.com/rooms/650193437729475063?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,1 bed,$366 per night,New
36,Private room in Honolulu,https://www.airbnb.com/rooms/4614657?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,3 beds,$230 per night,New
37,Home in Honolulu,https://www.airbnb.com/rooms/53347337?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,9 beds,"$1,196 per night, originally $1,384",New
38,Apartment in Honolulu,https://www.airbnb.com/rooms/656373561506986263?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,$354 per night,New
