,Name,Link,Description,Price,Sale Price
0,,,,,
1,Nike Air Max SC,https://www.nike.com/t/air-max-sc-womens-shoes-CwMCK7/CW4554-107,Women's Shoes,$80,$54.97
2,Nike Air Max 97,https://www.nike.com/t/air-max-97-womens-shoes-Fr6rM4/DQ8594-001,Women's Shoes,$175,$157.97
3,Nike Sportswear Air,https://www.nike.com/t/sportswear-air-womens-1-4-zip-fleece-top-xqRSbH/DM6073-215,Women's 1/4-Zip Fleece Top,$70,$35.97
4,Nike Sportswear,https://www.nike.com/t/sportswear-womens-fleece-shorts-sCmPDM/DQ3585-292,Women's Fleece Shorts,$60,$41.97
5,Nike Air Huarache,https://www.nike.com/t/air-huarache-mens-shoes-JppwBb/DD1068-001,Men's Shoes,$125,$100.97
6,Nike Air Max 270,https://www.nike.com/t/air-max-270-mens-shoes-KkLcGR/DQ7642-100,Men's Shoes,$170,$153.97
7,Nike Sportswear Club Fleece,https://www.nike.com/t/sportswear-club-fleece-pullover-hoodie-Gw4Nwq/BV2654-808,Pullover Hoodie,$55,$33.97
8,Nike Dri-FIT Standard Issue,https://www.nike.com/t/dri-fit-standard-issue-mens-8-french-terry-basketball-shorts-8pttbB/DQ5712-222,"Men's 8"" French Terry Basketball Shorts",$70,$56.97
9,Nike Air Max 270,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/AH6789-604,Women's Shoes,$160,$128.97
10,Nike Air Max 2017,https://www.nike.com/t/air-max-2017-womens-shoes-bRExK1/849560-009,Women's Shoes,$190,$139.97
11,Nike Sportswear,https://www.nike.com/t/sportswear-womens-oversized-fleece-hoodie-qVwpDl/DM6359-011,Women's Oversized Fleece Hoodie,$70,$35.97
12,Nike Sportswear,https://www.nike.com/t/sportswear-womens-oversized-fleece-joggers-dHJJMV/DM6366-010,Women's Oversized Fleece Joggers,$65,$31.97
13,Kyrie Infinity,https://www.nike.com/t/kyrie-infinity-basketball-shoes-LvzsVp/CZ0204-003,Basketball Shoes,$130,$79.97
14,LeBron 19 Low,https://www.nike.com/t/lebron-19-low-basketball-shoes-jDSdw6/DQ8344-600,Basketball Shoes,$160,$78.97
15,Jordan Dri-FIT Air,https://www.nike.com/t/jordan-dri-fit-air-mens-fleece-pullover-hoodie-wT5ZhX/DA9860-010,Men's Fleece Pullover Hoodie,$55,$26.97
16,Nike Pro Dri-FIT Flex Rep,https://www.nike.com/t/pro-dri-fit-flex-rep-mens-shorts-v48gvb/DD1700-010,Men's Shorts,$75,$60.97
17,Nike Air Max Dawn,https://www.nike.com/t/air-max-dawn-big-kids-shoes-C8PwMK/DH3157-101,Big Kids' Shoes,$100,$73.97
18,Nike Blazer Mid '77,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-18cxSG/DV2234-100,Big Kids' Shoes,$90,$65.97
19,Nike Sportswear,https://www.nike.com/t/sportswear-big-kids-boys-printed-french-terry-sweatshirt-tQcpkH/DO6503-377,Big Kids' (Boys') Printed French Terry Sweatshirt,$50,$25.97
20,Nike Sportswear,https://www.nike.com/t/sportswear-big-kids-boys-printed-french-terry-shorts-Qh0ls2/DO6572-321,Big Kids' (Boys') Printed French Terry Shorts,$45,$22.97
21,Nike,https://www.nike.com/t/little-kids-t-shirt-qmXj2d/86J662-EB5,Little Kids' T-Shirt,$18,$11.97
22,Nike Sportswear,https://www.nike.com/t/sportswear-big-kids-girls-high-rise-9-bike-shorts-lj4jct/DA1243-603,"Big Kids' (Girls') High-Rise 9"" Bike Shorts",$20,$16.97
23,Nike One,https://www.nike.com/t/one-womens-training-tote-bag-18l-ZZsJZG/CV0063-494,Women's Training Tote Bag (18L),$60,$51.97
24,Nike Brasilia 9.5,https://www.nike.com/t/brasilia-95-printed-training-duffel-bag-medium-60l-DNnMm9/DM2371-355,"Printed Training Duffel Bag (Medium, 60L)",$40,$35.97
25,Nike Air Max Correlate,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-153,Women's Shoes,$95,$84.97
26,Nike Air Max Pre-Day,https://www.nike.com/t/air-max-pre-day-womens-shoes-TNgd9M/DJ5407-500,Women's Shoes,$130,$88.97
27,Nike Yoga Luxe Dri-FIT,https://www.nike.com/t/yoga-luxe-dri-fit-womens-full-zip-jacket-JkBng7/DD5533-462,Women's Full-Zip Jacket,$130,$73.97
28,Nike Sportswear Club Fleece,https://www.nike.com/t/sportswear-club-fleece-womens-mid-rise-shorts-zt4JFL/DQ5802-569,Women's Mid-Rise Shorts,$50,$32.97
29,Nike Waffle Trainer 2,https://www.nike.com/t/waffle-trainer-2-mens-shoes-tcxF6J/DH1349-403,Men's Shoes,$90,$72.97
30,Nike Waffle One SE,https://www.nike.com/t/waffle-one-se-mens-shoes-4SPCK4/DX3373-400,Men's Shoes,$115,$92.97
31,Nike,https://www.nike.com/t/mens-basketball-t-shirt-x5h2cw/DQ1909-100,Men's Basketball T-Shirt,$35,$28.97
32,Nike Sportswear Club Fleece,https://www.nike.com/t/sportswear-club-fleece-joggers-KflRdQ/BV2671-392,Joggers,$55,$41.97
33,Nike React Infinity Run Flyknit 2,https://www.nike.com/t/react-infinity-run-flyknit-2-womens-road-running-shoes-rfh6Z8/CT2423-600,Women's Road Running Shoes,$160,$127.97
34,Nike React Phantom Run Flyknit 2,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-road-running-shoes-65fS2h/DO6698-001,Women's Road Running Shoes,$140,$100.97
35,Nike Sportswear,https://www.nike.com/t/sportswear-womens-oversized-fleece-crew-top-8VTd54/DM6321-063,Women's Oversized Fleece Crew Top,$70,$35.97
36,Nike Pro,https://www.nike.com/t/pro-womens-mid-rise-mesh-paneled-leggings-50K3St/CZ9779-404,Women's Mid-Rise Mesh-Paneled Leggings,$50,$40.97
37,Nike Flex Control 4,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-100,Men's Training Shoes,$65,$54.97
38,Nike Air Max Pre-Day,https://www.nike.com/t/air-max-pre-day-mens-shoes-JBXGg7/DV2211-100,Men's Shoes,$140,$126.97
39,Nike Sportswear Tech Fleece,https://www.nike.com/t/sportswear-tech-fleece-mens-full-zip-hoodie-5ZtTtk/CU4489-392,Men's Full-Zip Hoodie,$130,$97.97
40,Nike Dri-FIT Stride,https://www.nike.com/t/dri-fit-stride-mens-5-brief-lined-running-shorts-4Vw9Bb/DM4755-480,"Men's 5"" Brief-Lined Running Shorts",$55,$44.97
41,Kyrie Infinity,https://www.nike.com/t/kyrie-infinity-big-kids-basketball-shoes-hX4VKQ/DD0334-102,Big Kids' Basketball Shoes,$110,$53.97
42,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-big-kids-shoes-dWftsH/DB1550-402,Big Kids' Shoes,$190,$128.97
43,Nike Sportswear Club,https://www.nike.com/t/sportswear-club-big-kids-boys-hoodie-NMgCJK/DX5699-451,Big Kids' (Boys') Hoodie,$50,$29.97
44,Nike Sportswear Club,https://www.nike.com/t/sportswear-club-big-kids-boys-joggers-LzHKhF/DX6507-451,Big Kids' (Boys') Joggers,$50,$29.97
45,Nike Air Force 1,https://www.nike.com/t/air-force-1-big-kids-shoes-M7mcL9/CT3839-104,Big Kids' Shoes,$85,$69.97
46,Nike Court Borough Low 2 SE,https://www.nike.com/t/court-borough-low-2-se-big-kids-shoes-5n5Wzk/DM0110-100,Big Kids' Shoes,$55,$41.97
47,Nike Sportswear,https://www.nike.com/t/sportswear-big-kids-girls-boxy-mama-t-shirt-Z4qD5r/DX5709-100,Big Kids' (Girls') Boxy Mama T-Shirt,$25,$12.97
48,Nike Sportswear Club,https://www.nike.com/t/sportswear-club-big-kids-girls-french-terry-mama-shorts-tRt4DC/DX5710-712,Big Kids' (Girls') French Terry Mama Shorts,$30,$18.97
49,Nike Air Max AP,https://www.nike.com/t/air-max-ap-womens-shoe-zdBt57/CU4870-105,Women's Shoe,$105,$84.97
50,Nike Air Max Dia,https://www.nike.com/t/air-max-dia-womens-shoes-7Vf0Hb/CI3898-001,Women's Shoes,$110,$99.97
51,Nike Sportswear Swoosh,https://www.nike.com/t/sportswear-swoosh-womens-full-zip-jacket-hQt1KW/DM9226-010,Women's Full-Zip Jacket,$120,$58.97
52,Jordan Essentials,https://www.nike.com/t/jordan-essentials-womens-utility-pants-plus-size-QZMbx1/DD7006-082,Women's Utility Pants (Plus Size),$120,$58.97
53,Air Max Dawn,https://www.nike.com/t/air-max-dawn-mens-shoes-Rg69GM/DQ7643-700,Men's Shoes,$120,$72.97
54,Nike SB BLZR Court,https://www.nike.com/t/sb-blzr-court-skate-shoes-R6bVLk/CV1658-501,Skate Shoes,$65,$53.97
55,Jordan Dri-FIT Sport,https://www.nike.com/t/jordan-dri-fit-sport-mens-t-shirt-jNn9LP/DH8920-687,Men's T-Shirt,$35,$28.97
56,Nike Dri-FIT Starting 5,https://www.nike.com/t/dri-fit-starting-5-mens-11-basketball-shorts-2Nkw8d/DQ5826-011,"Men's 11"" Basketball Shorts",$48,$38.97
57,Nike Victori One,https://www.nike.com/t/victori-one-womens-slides-dLThzx/CN9677-003,Women's Slides,$30,$25.97
58,Jordan NOLA,https://www.nike.com/t/jordan-nola-womens-slides-cJKqWN/CZ8027-602,Women's Slides,$45,$33.97
59,Jordan Cozy Girl,https://www.nike.com/t/jordan-cozy-girl-womens-jacket-Q45pnF/DJ2722-204,Women's Jacket,$300,$255.97
60,Jordan Cozy Girl,https://www.nike.com/t/jordan-cozy-girl-womens-fleece-pants-rPc2Gg/DJ2730-203,Women's Fleece Pants,$120,$102.97
61,Nike Air Max Terrascape 90,https://www.nike.com/t/air-max-terrascape-90-mens-shoes-61rLc8/DM0033-100,Men's Shoes,$140,$112.97
62,Nike Air Max 270,https://www.nike.com/t/air-max-270-big-kids-shoes-HbtNX3/943345-113,Big Kids' Shoes,$130,$104.97
63,Nike Revolution 5,https://www.nike.com/t/revolution-5-womens-road-running-shoes-hC41Vf/BQ3207-002,Women's Road Running Shoes,$65,$53.97
64,Nike Vapor Edge Pro 360,https://www.nike.com/t/vapor-edge-pro-360-mens-football-cleats-94BH8M/DQ3670-071,Men's Football Cleats,$120,$96.97
65,Nike Air Max Bolt,https://www.nike.com/t/air-max-bolt-mens-shoes-qrNFGh/CU4151-001,Men's Shoes,$85,$80.97
